symbol,asset_type,name,description,cik,exchange,currency,country,sector,industry,address,official_site,oldest_fiscal_date,previous_oldest_fiscal_date,oldest_revenue,previous_oldest_revenue,oldest_net_income,previous_oldest_net_income,oldest_gross_profit,previous_oldest_gross_profit,oldest_revenue_growth_%,oldest_net_income_growth_%,oldest_gross_profit_growth_%
MMM,Common Stock,3M Company,"3M Company is a leading American multinational conglomerate that excels in innovation across diverse sectors, including industrial, safety, healthcare, and consumer goods. Boasting a robust portfolio of over 60,000 products, 3M has established a strong market presence in adhesives, abrasives, medical supplies, and personal protective equipment through its reputable brands. Headquartered in Maplewood, Minnesota, the company is recognized for its commitment to technological advancement and sustainability, enabling it to effectively respond to the changing demands of both consumers and industries while driving future growth.",66740,NYSE,USD,USA,INDUSTRIALS,CONGLOMERATES,"3M CENTER, SAINT PAUL, MN, UNITED STATES, 55144-1000",https://www.3m.com,2015-12-31,2014-12-31,30274000000.0,31821000000.0,4833000000.0,4956000000.0,14742000000.0,15358000000.0,-4.861569403852801,-2.4818401937046004,-4.010938924339107
AOS,Common Stock,Smith AO Corporation,"A. O. Smith Corporation is a premier American manufacturer renowned for its expertise in residential and commercial water heating solutions, positioning itself as the largest producer and marketer of water heaters in North America. The company has successfully diversified its product line to include water treatment systems, with a notable emphasis on expanding operations in the expanding Asian market. With a steadfast commitment to innovation and high-quality standards, A. O. Smith is well-equipped to navigate the dynamic landscape of water solutions, presenting a compelling investment opportunity for institutional investors seeking long-term, sustainable growth.",91142,NYSE,USD,USA,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,"11270 WEST PARK PLACE, MILWAUKEE, WI, UNITED STATES, 53224",https://www.aosmith.com,2015-12-31,2014-12-31,2536500000.0,2356000000.0,282900000.0,207800000.0,1009800000.0,859300000.0,7.661290322580645,36.14051973051011,17.514255789596184
ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories (ABT) is a prominent American multinational healthcare company based in Abbott Park, Illinois, with expertise across a diverse range of sectors, including medical devices, diagnostics, nutritional products, and branded generic medicines. Established in 1888, Abbott has demonstrated a strong commitment to innovation, enhancing health outcomes through cutting-edge technology and comprehensive healthcare solutions. The company's strategic decision to spin off its research-based pharmaceutical operations into AbbVie in 2013 has allowed it to focus on its core offerings while maintaining a legacy of excellence in healthcare. With a robust global presence, Abbott is well-positioned to capitalize on emerging market opportunities and address evolving healthcare needs.",1800,NYSE,USD,USA,HEALTHCARE,MEDICAL DEVICES,"100 ABBOTT PARK ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbott.com,2015-12-31,2014-12-31,20405000000.0,20247000000.0,4423000000.0,2284000000.0,10960000000.0,10490000000.0,0.7803625228428903,93.65148861646234,4.480457578646329
ABBV,Common Stock,AbbVie Inc,"AbbVie Inc is a leading American biopharmaceutical company, established in 2013 from a spin-off of Abbott Laboratories. The company specializes in the research, development, and commercialization of advanced therapies in immunology, oncology, virology, and neuroscience. With a robust pipeline of innovative treatments, AbbVie is committed to addressing some of the world's most challenging health issues and is recognized for its blockbuster immunology drug, Humira. AbbVie continues to strengthen its portfolio through strategic acquisitions and collaborations, positioning itself as a formidable player in the global biopharmaceutical landscape.",1551152,NYSE,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbvie.com,2015-12-31,2014-12-31,22859000000.0,19960000000.0,5144000000.0,1774000000.0,18359000000.0,15534000000.0,14.524048096192384,189.96617812852313,18.18591476760654
ACN,Common Stock,Accenture plc,"Accenture plc is a premier global professional services company, headquartered in Dublin, specializing in consulting, digital transformation, technology, and operations. With a strong focus on innovation and efficiency, Accenture collaborates with clients across diverse industries to deliver transformative solutions that drive business performance and sustainable growth. The firm’s deep industry expertise and commitment to leveraging advanced technologies solidify its position as a leader in the dynamic digital landscape, making it an indispensable partner for organizations seeking to thrive in an increasingly competitive environment.",1467373,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"1 GRAND CANAL SQUARE, DUBLIN, IRELAND, D02 P820",https://www.accenture.com,2016-08-31,2015-08-31,34797661000.0,32914424000.0,4111892000.0,3053581000.0,10277427000.0,9809239000.0,5.721616152237694,34.65802937600149,4.772928868386223
ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is a premier American multinational software company based in San Jose, California, recognized for its innovative leadership in digital media and marketing solutions. With flagship products like Adobe Photoshop, Illustrator, and Acrobat, it has become an essential partner for creative professionals across diverse industries. The company has further expanded its portfolio through Adobe Experience Cloud, a comprehensive suite that enhances customer engagement and marketing strategies for businesses. By harnessing the power of artificial intelligence and cloud technologies, Adobe is well-positioned to sustain its competitive advantage and address the evolving demands of the digital landscape, boasting a vast global user base.",796343,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - APPLICATION,"345 PARK AVENUE, SAN JOSE, CA, UNITED STATES, 95110-2704",https://www.adobe.com,2015-11-30,2014-11-30,4795511000.0,4147065000.0,629551000.0,268395000.0,4051194000.0,3524985000.0,15.636263236771066,134.56137409415228,14.927978416929433
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is a prominent American semiconductor company based in Santa Clara, California, renowned for its innovative microprocessors, graphics processors, and motherboard chipsets. Catering to diverse markets, including data centers, enterprise solutions, and consumer electronics, AMD's commitment to high-performance computing has positioned it as a significant force in the rapidly evolving semiconductor industry. The company's strategic focus on advancing technology to meet the dynamic needs of both businesses and consumers underscores its potential for continued growth and leadership in the sector.",2488,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, UNITED STATES, 95054",https://www.amd.com,2015-12-31,2014-12-31,3991000000.0,5506000000.0,-660000000.0,-403000000.0,1080000000.0,1839000000.0,-27.515437704322558,63.77171215880894,-41.272430668841764
AES,Common Stock,The AES Corporation,"The AES Corporation is a Fortune 500 leader in the global power sector, specializing in the generation and distribution of electricity through a diverse portfolio that includes both renewable and traditional energy sources. Based in Arlington, Virginia, AES is committed to sustainability and innovation, aiming to enhance energy access while minimizing environmental impact. As the energy landscape evolves, AES is well-positioned to take advantage of emerging opportunities, making it a compelling investment choice for institutional investors seeking exposure to a transformative industry.",874761,NYSE,USD,USA,UTILITIES,UTILITIES - DIVERSIFIED,"4300 WILSON BOULEVARD, ARLINGTON, VA, UNITED STATES, 22203",https://www.aes.com,2015-12-31,2014-12-31,14112000000.0,17111000000.0,306000000.0,825000000.0,2801000000.0,3066000000.0,-17.526737186605107,-62.909090909090914,-8.643183300717547
AFL,Common Stock,Aflac Incorporated,"Aflac Incorporated (ticker: AFL) is a premier provider of supplemental insurance in the United States, recognized for its comprehensive range of products aimed at alleviating the financial impact of unanticipated medical expenses. Boasting a significant market position in both the U.S. and Japan, Aflac excels in areas such as cancer and accident insurance, leveraging its strong brand reputation and customer loyalty. The company showcases robust financial health, evident in its ongoing revenue growth and sound balance sheet, reinforcing its ability to drive shareholder value while adapting to the dynamic healthcare environment.",4977,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - LIFE,"1932 WYNNTON ROAD, COLUMBUS, GA, UNITED STATES, 31999",https://www.aflac.com,2015-12-31,2014-12-31,20872000000.0,22728000000.0,2533000000.0,2951000000.0,20872000000.0,22728000000.0,-8.166138683562126,-14.164689935615046,-8.166138683562126
A,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is a premier American company headquartered in Santa Clara, California, specializing in analytical instrumentation and life sciences solutions. Renowned for its innovative products and services, Agilent caters to diverse markets including scientific research, diagnostics, and quality control, thereby reinforcing its position as a vital contributor to the global analytical economy. The company's extensive portfolio encompasses cutting-edge instruments and software, enabling advancements in life sciences and applied chemical sectors. With a steadfast commitment to innovation and customer-centric strategies, Agilent is poised to meet the evolving needs of its clients across various industries, making it a compelling investment opportunity for institutional investors.",1090872,NYSE,USD,USA,HEALTHCARE,DIAGNOSTICS & RESEARCH,"5301 STEVENS CREEK BOULEVARD, SANTA CLARA, CA, UNITED STATES, 95051",https://www.agilent.com,2015-10-31,2014-10-31,4038000000.0,4048000000.0,401000000.0,549000000.0,2041000000.0,1976000000.0,-0.24703557312252966,-26.958105646630237,3.289473684210526
