symbol,asset_type,name,description,cik,exchange,currency,country,sector,industry,address,official_site,latest_fiscal_date,previous_fiscal_date,latest_revenue,previous_revenue,latest_net_income,previous_net_income,latest_gross_profit,previous_gross_profit,latest_revenue_growth_%,latest_net_income_growth_%,latest_gross_profit_growth_%
MMM,Common Stock,3M Company,"3M Company is a leading American multinational conglomerate that excels in innovation across diverse sectors, including industrial, safety, healthcare, and consumer goods. Boasting a robust portfolio of over 60,000 products, 3M has established a strong market presence in adhesives, abrasives, medical supplies, and personal protective equipment through its reputable brands. Headquartered in Maplewood, Minnesota, the company is recognized for its commitment to technological advancement and sustainability, enabling it to effectively respond to the changing demands of both consumers and industries while driving future growth.",66740,NYSE,USD,USA,INDUSTRIALS,CONGLOMERATES,"3M CENTER, SAINT PAUL, MN, UNITED STATES, 55144-1000",https://www.3m.com,2024-12-31,2023-12-31,24575000000.0,32681000000.0,4173000000.0,-6995000000.0,10080000000.0,14204000000.0,-24.803402588660077,-159.65689778413153,-29.034074908476487
AOS,Common Stock,Smith AO Corporation,"A. O. Smith Corporation is a premier American manufacturer renowned for its expertise in residential and commercial water heating solutions, positioning itself as the largest producer and marketer of water heaters in North America. The company has successfully diversified its product line to include water treatment systems, with a notable emphasis on expanding operations in the expanding Asian market. With a steadfast commitment to innovation and high-quality standards, A. O. Smith is well-equipped to navigate the dynamic landscape of water solutions, presenting a compelling investment opportunity for institutional investors seeking long-term, sustainable growth.",91142,NYSE,USD,USA,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,"11270 WEST PARK PLACE, MILWAUKEE, WI, UNITED STATES, 53224",https://www.aosmith.com,2024-12-31,2023-12-31,3818100000.0,3852800000.0,533600000.0,556600000.0,1456100000.0,1484800000.0,-0.9006436877076411,-4.132231404958678,-1.9329202586206895
ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories (ABT) is a prominent American multinational healthcare company based in Abbott Park, Illinois, with expertise across a diverse range of sectors, including medical devices, diagnostics, nutritional products, and branded generic medicines. Established in 1888, Abbott has demonstrated a strong commitment to innovation, enhancing health outcomes through cutting-edge technology and comprehensive healthcare solutions. The company's strategic decision to spin off its research-based pharmaceutical operations into AbbVie in 2013 has allowed it to focus on its core offerings while maintaining a legacy of excellence in healthcare. With a robust global presence, Abbott is well-positioned to capitalize on emerging market opportunities and address evolving healthcare needs.",1800,NYSE,USD,USA,HEALTHCARE,MEDICAL DEVICES,"100 ABBOTT PARK ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbott.com,2024-12-31,2023-12-31,41950000000.0,40109000000.0,13402000000.0,5723000000.0,21325000000.0,20037000000.0,4.589992271061358,134.17787873492924,6.428108000199631
ABBV,Common Stock,AbbVie Inc,"AbbVie Inc is a leading American biopharmaceutical company, established in 2013 from a spin-off of Abbott Laboratories. The company specializes in the research, development, and commercialization of advanced therapies in immunology, oncology, virology, and neuroscience. With a robust pipeline of innovative treatments, AbbVie is committed to addressing some of the world's most challenging health issues and is recognized for its blockbuster immunology drug, Humira. AbbVie continues to strengthen its portfolio through strategic acquisitions and collaborations, positioning itself as a formidable player in the global biopharmaceutical landscape.",1551152,NYSE,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbvie.com,2024-12-31,2023-12-31,56334000000.0,54318000000.0,4278000000.0,4863000000.0,39430000000.0,33903000000.0,3.711476858499945,-12.02961135101789,16.30239211869156
ACN,Common Stock,Accenture plc,"Accenture plc is a premier global professional services company, headquartered in Dublin, specializing in consulting, digital transformation, technology, and operations. With a strong focus on innovation and efficiency, Accenture collaborates with clients across diverse industries to deliver transformative solutions that drive business performance and sustainable growth. The firm’s deep industry expertise and commitment to leveraging advanced technologies solidify its position as a leader in the dynamic digital landscape, making it an indispensable partner for organizations seeking to thrive in an increasingly competitive environment.",1467373,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"1 GRAND CANAL SQUARE, DUBLIN, IRELAND, D02 P820",https://www.accenture.com,2025-08-31,2024-08-31,69672977000.0,64896464000.0,7678433000.0,7264787000.0,22235401000.0,21162317000.0,7.360205326441206,5.693848973135758,5.070730204069809
ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is a premier American multinational software company based in San Jose, California, recognized for its innovative leadership in digital media and marketing solutions. With flagship products like Adobe Photoshop, Illustrator, and Acrobat, it has become an essential partner for creative professionals across diverse industries. The company has further expanded its portfolio through Adobe Experience Cloud, a comprehensive suite that enhances customer engagement and marketing strategies for businesses. By harnessing the power of artificial intelligence and cloud technologies, Adobe is well-positioned to sustain its competitive advantage and address the evolving demands of the digital landscape, boasting a vast global user base.",796343,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - APPLICATION,"345 PARK AVENUE, SAN JOSE, CA, UNITED STATES, 95110-2704",https://www.adobe.com,2024-11-30,2023-11-30,21505000000.0,19409000000.0,5560000000.0,5428000000.0,19147000000.0,17055000000.0,10.799113813179453,2.4318349299926307,12.2661975960129
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is a prominent American semiconductor company based in Santa Clara, California, renowned for its innovative microprocessors, graphics processors, and motherboard chipsets. Catering to diverse markets, including data centers, enterprise solutions, and consumer electronics, AMD's commitment to high-performance computing has positioned it as a significant force in the rapidly evolving semiconductor industry. The company's strategic focus on advancing technology to meet the dynamic needs of both businesses and consumers underscores its potential for continued growth and leadership in the sector.",2488,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, UNITED STATES, 95054",https://www.amd.com,2024-12-31,2023-12-31,25785000000.0,22680000000.0,1641000000.0,854000000.0,12725000000.0,10460000000.0,13.690476190476192,92.15456674473069,21.653919694072655
AES,Common Stock,The AES Corporation,"The AES Corporation is a Fortune 500 leader in the global power sector, specializing in the generation and distribution of electricity through a diverse portfolio that includes both renewable and traditional energy sources. Based in Arlington, Virginia, AES is committed to sustainability and innovation, aiming to enhance energy access while minimizing environmental impact. As the energy landscape evolves, AES is well-positioned to take advantage of emerging opportunities, making it a compelling investment choice for institutional investors seeking exposure to a transformative industry.",874761,NYSE,USD,USA,UTILITIES,UTILITIES - DIVERSIFIED,"4300 WILSON BOULEVARD, ARLINGTON, VA, UNITED STATES, 22203",https://www.aes.com,2024-12-31,2023-12-31,12278000000.0,12676000000.0,1686000000.0,242000000.0,2316000000.0,2515000000.0,-3.1397917324077,596.694214876033,-7.912524850894632
AFL,Common Stock,Aflac Incorporated,"Aflac Incorporated (ticker: AFL) is a premier provider of supplemental insurance in the United States, recognized for its comprehensive range of products aimed at alleviating the financial impact of unanticipated medical expenses. Boasting a significant market position in both the U.S. and Japan, Aflac excels in areas such as cancer and accident insurance, leveraging its strong brand reputation and customer loyalty. The company showcases robust financial health, evident in its ongoing revenue growth and sound balance sheet, reinforcing its ability to drive shareholder value while adapting to the dynamic healthcare environment.",4977,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - LIFE,"1932 WYNNTON ROAD, COLUMBUS, GA, UNITED STATES, 31999",https://www.aflac.com,2024-12-31,2023-12-31,19128000000.0,18841000000.0,5443000000.0,4659000000.0,7813000000.0,18841000000.0,1.5232737115864339,16.827645417471558,-58.53192505705642
A,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is a premier American company headquartered in Santa Clara, California, specializing in analytical instrumentation and life sciences solutions. Renowned for its innovative products and services, Agilent caters to diverse markets including scientific research, diagnostics, and quality control, thereby reinforcing its position as a vital contributor to the global analytical economy. The company's extensive portfolio encompasses cutting-edge instruments and software, enabling advancements in life sciences and applied chemical sectors. With a steadfast commitment to innovation and customer-centric strategies, Agilent is poised to meet the evolving needs of its clients across various industries, making it a compelling investment opportunity for institutional investors.",1090872,NYSE,USD,USA,HEALTHCARE,DIAGNOSTICS & RESEARCH,"5301 STEVENS CREEK BOULEVARD, SANTA CLARA, CA, UNITED STATES, 95051",https://www.agilent.com,2024-10-31,2023-10-31,6510000000.0,6833000000.0,1289000000.0,1240000000.0,3535000000.0,3465000000.0,-4.72705985657837,3.951612903225806,2.0202020202020203
APD,Common Stock,Air Products and Chemicals Inc,"Air Products and Chemicals, Inc. (Ticker: APD) is a leading global provider of industrial gases and chemicals, headquartered in Allentown, Pennsylvania. With a robust product portfolio that includes essential gases such as oxygen, nitrogen, and hydrogen, the company serves critical sectors including energy, healthcare, and manufacturing. Air Products is committed to sustainability and innovation, consistently advancing technologies that help reduce carbon emissions and enhance energy efficiency. The company’s strategic investments in clean energy solutions position it as a key player in the transition towards a more sustainable energy future, reinforcing its role in addressing global environmental challenges.",2969,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"1940 AIR PRODUCTS BOULEVARD, ALLENTOWN, PA, UNITED STATES, 18106-5500",https://www.airproducts.com,2025-09-30,2024-09-30,12037300000.0,12100600000.0,-394500000.0,3828200000.0,3781300000.0,3931900000.0,-0.5231145563029932,-110.30510422652944,-3.8302093135634174
ABNB,Common Stock,Airbnb Inc,"Airbnb, Inc. (ABNB) is a premier online marketplace headquartered in San Francisco, California, offering travelers access to a vast array of unique accommodations and experiences worldwide, from urban apartments to rural retreats. Founded in 2008, Airbnb has transformed the hospitality sector by prioritizing user experience through innovative technology while fostering community engagement and promoting local culture. As the company adapts to the post-pandemic travel landscape, it is strategically positioned to leverage rising demand for diverse travel experiences and continuously evolving consumer preferences. With its expansive global reach and commitment to enhancing guest and host relationships, Airbnb remains a key player in the redefined tourism and hospitality market.",1559720,NASDAQ,USD,USA,CONSUMER CYCLICAL,TRAVEL SERVICES,"888 BRANNAN STREET, SAN FRANCISCO, CA, UNITED STATES, 94103",https://www.airbnb.com,2024-12-31,2023-12-31,11102000000.0,9917000000.0,2648000000.0,4792000000.0,9224000000.0,8214000000.0,11.949178178884743,-44.74123539232053,12.296079863647432
