symbol,asset_type,name,description,cik,exchange,currency,country,sector,industry,address,official_site,fiscal_year_end,latest_quarter,market_capitalization,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share_ttm,profit_margin,operating_margin_ttm,return_on_assets_ttm,return_on_equity_ttm,revenue_ttm,gross_profit_ttm,diluted_eps_ttm,quarterly_earnings_growth_yoy,quarterly_revenue_growth_yoy,analyst_target_price,analyst_rating_strong_buy,analyst_rating_buy,analyst_rating_hold,analyst_rating_sell,analyst_rating_strong_sell,trailing_pe,forward_pe,price_to_sales_ratio_ttm,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,fifty_two_week_high,fifty_two_week_low,fifty_day_moving_average,two_hundred_day_moving_average,shares_outstanding,shares_float,percent_insiders,percent_institutions,dividend_date,ex_dividend_date
MMM,Common Stock,3M Company,"3M Company is a leading American multinational conglomerate that excels in innovation across diverse sectors, including industrial, safety, healthcare, and consumer goods. Boasting a robust portfolio of over 60,000 products, 3M has established a strong market presence in adhesives, abrasives, medical supplies, and personal protective equipment through its reputable brands. Headquartered in Maplewood, Minnesota, the company is recognized for its commitment to technological advancement and sustainability, enabling it to effectively respond to the changing demands of both consumers and industries while driving future growth.",66740,NYSE,USD,USA,INDUSTRIALS,CONGLOMERATES,"3M CENTER, SAINT PAUL, MN, UNITED STATES, 55144-1000",https://www.3m.com,December,2025-06-30,81300595000.0,5795000000.0,21.2,3.367,8.05,2.86,0.0189,7.2,45.23,0.16,0.178,0.0732,0.948,24601999000.0,10114000000.0,7.2,-0.351,0.014,163.44,2,9,3,1,2,21.2,19.19,3.305,19.72,3.825,13.4,1.108,163.4,120.83,155.03,148.38,532630000,531841000,0.107,75.337,2025-09-12,2025-08-25
AOS,Common Stock,Smith AO Corporation,"A. O. Smith Corporation is a premier American manufacturer renowned for its expertise in residential and commercial water heating solutions, positioning itself as the largest producer and marketer of water heaters in North America. The company has successfully diversified its product line to include water treatment systems, with a notable emphasis on expanding operations in the expanding Asian market. With a steadfast commitment to innovation and high-quality standards, A. O. Smith is well-equipped to navigate the dynamic landscape of water solutions, presenting a compelling investment opportunity for institutional investors seeking long-term, sustainable growth.",91142,NYSE,USD,USA,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,"11270 WEST PARK PLACE, MILWAUKEE, WI, UNITED STATES, 53224",https://www.aosmith.com,December,2025-06-30,9719387000.0,768100000.0,19.42,1.791,13.17,1.34,0.0193,3.59,26.34,0.137,0.203,0.133,0.276,3790200000.0,1447900000.0,3.59,0.009,-0.013,80.09,0,4,10,1,0,19.42,17.39,2.564,5.58,2.759,13.47,1.303,78.71,58.25,71.94,68.31,114260000,226060000,0.772,98.791,2025-08-15,2025-10-31
ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories (ABT) is a prominent American multinational healthcare company based in Abbott Park, Illinois, with expertise across a diverse range of sectors, including medical devices, diagnostics, nutritional products, and branded generic medicines. Established in 1888, Abbott has demonstrated a strong commitment to innovation, enhancing health outcomes through cutting-edge technology and comprehensive healthcare solutions. The company's strategic decision to spin off its research-based pharmaceutical operations into AbbVie in 2013 has allowed it to focus on its core offerings while maintaining a legacy of excellence in healthcare. With a robust global presence, Abbott is well-positioned to capitalize on emerging market opportunities and address evolving healthcare needs.",1800,NYSE,USD,USA,HEALTHCARE,MEDICAL DEVICES,"100 ABBOTT PARK ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbott.com,December,2025-09-30,223718588000.0,11623000000.0,16.13,4.168,29.05,2.36,0.0185,7.97,25.2,0.319,0.191,0.0662,0.309,43842998000.0,24614001000.0,7.97,0.0,0.069,144.39,6,14,7,0,1,16.13,23.36,5.1,4.577,5.51,20.54,0.696,139.33,109.21,132.43,130.22,1740459000,1730208000,0.543,80.538,2025-11-17,2025-10-15
ABBV,Common Stock,AbbVie Inc,"AbbVie Inc is a leading American biopharmaceutical company, established in 2013 from a spin-off of Abbott Laboratories. The company specializes in the research, development, and commercialization of advanced therapies in immunology, oncology, virology, and neuroscience. With a robust pipeline of innovative treatments, AbbVie is committed to addressing some of the world's most challenging health issues and is recognized for its blockbuster immunology drug, Humira. AbbVie continues to strengthen its portfolio through strategic acquisitions and collaborations, positioning itself as a formidable player in the global biopharmaceutical landscape.",1551152,NYSE,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbvie.com,December,2025-06-30,405548794000.0,28074000000.0,109.84,0.425,-0.104,6.47,0.0285,2.09,32.98,0.0645,0.375,0.0887,1.129,58327998000.0,41556001000.0,2.09,-0.324,0.066,234.78,5,14,8,0,1,109.84,16.84,6.95,50.46,8.26,34.03,0.507,243.06,158.28,217.66,197.05,1766558000,1762937000,0.104,74.526,2025-11-14,2025-10-15
ACN,Common Stock,Accenture plc,"Accenture plc is a premier global professional services company, headquartered in Dublin, specializing in consulting, digital transformation, technology, and operations. With a strong focus on innovation and efficiency, Accenture collaborates with clients across diverse industries to deliver transformative solutions that drive business performance and sustainable growth. The firm’s deep industry expertise and commitment to leveraging advanced technologies solidify its position as a leader in the dynamic digital landscape, making it an indispensable partner for organizations seeking to thrive in an increasingly competitive environment.",1467373,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"1 GRAND CANAL SQUARE, DUBLIN, IRELAND, D02 P820",https://www.accenture.com,August,2025-08-31,147834913000.0,12222532000.0,19.6,1.898,50.16,6.07,0.0259,12.16,111.5,0.11,0.152,0.112,0.255,69672976000.0,22235400000.0,12.16,-0.155,0.073,278.61,3,12,8,1,0,19.6,17.64,2.122,4.872,2.134,11.49,1.278,391.86,227.92,246.35,301.46,620139000,619041000,0.073,82.403,2025-11-14,2025-10-10
ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is a premier American multinational software company based in San Jose, California, recognized for its innovative leadership in digital media and marketing solutions. With flagship products like Adobe Photoshop, Illustrator, and Acrobat, it has become an essential partner for creative professionals across diverse industries. The company has further expanded its portfolio through Adobe Experience Cloud, a comprehensive suite that enhances customer engagement and marketing strategies for businesses. By harnessing the power of artificial intelligence and cloud technologies, Adobe is well-positioned to sustain its competitive advantage and address the evolving demands of the digital landscape, boasting a vast global user base.",796343,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - APPLICATION,"345 PARK AVENUE, SAN JOSE, CA, UNITED STATES, 95110-2704",https://www.adobe.com,November,2025-08-31,139502633000.0,9060000000.0,20.79,1.003,28.02,0.0,0.0,16.03,53.63,0.3,0.363,0.181,0.529,23181001000.0,20662999000.0,16.03,0.112,0.107,454.18,5,20,12,3,0,20.79,15.06,6.02,12.5,6.38,15.46,1.49,557.9,327.5,350.68,387.34,418600000,417374000,0.182,86.862,,2005-03-24
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is a prominent American semiconductor company based in Santa Clara, California, renowned for its innovative microprocessors, graphics processors, and motherboard chipsets. Catering to diverse markets, including data centers, enterprise solutions, and consumer electronics, AMD's commitment to high-performance computing has positioned it as a significant force in the rapidly evolving semiconductor industry. The company's strategic focus on advancing technology to meet the dynamic needs of both businesses and consumers underscores its potential for continued growth and leadership in the sector.",2488,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, UNITED STATES, 95054",https://www.amd.com,December,2025-06-30,378252394000.0,5510000000.0,138.74,0.525,36.78,0.0,0.0,1.68,18.25,0.0957,-0.0128,0.0219,0.047,29600000000.0,15092000000.0,1.68,2.336,0.317,239.11,5,31,16,0,0,138.74,28.57,12.78,4.617,9.24,48.83,1.894,241.2,76.48,176.16,133.04,1622844000,1611354000,0.504,68.983,,1995-04-27
AES,Common Stock,The AES Corporation,"The AES Corporation is a Fortune 500 leader in the global power sector, specializing in the generation and distribution of electricity through a diverse portfolio that includes both renewable and traditional energy sources. Based in Arlington, Virginia, AES is committed to sustainability and innovation, aiming to enhance energy access while minimizing environmental impact. As the energy landscape evolves, AES is well-positioned to take advantage of emerging opportunities, making it a compelling investment choice for institutional investors seeking exposure to a transformative industry.",874761,NYSE,USD,USA,UTILITIES,UTILITIES - DIVERSIFIED,"4300 WILSON BOULEVARD, ARLINGTON, VA, UNITED STATES, 22203",https://www.aes.com,December,2025-06-30,10552575000.0,3076000000.0,11.22,1.092,4.732,0.7,0.0472,1.3,16.9,0.0766,0.14,0.0228,0.0174,12032000000.0,2036000000.0,1.3,-0.892,-0.03,14.29,3,4,4,2,0,11.22,6.18,0.877,3.02,3.249,11.94,0.924,16.68,9.28,13.47,11.96,712050000,708034000,0.464,93.902,2025-11-14,2025-10-31
AFL,Common Stock,Aflac Incorporated,"Aflac Incorporated (ticker: AFL) is a premier provider of supplemental insurance in the United States, recognized for its comprehensive range of products aimed at alleviating the financial impact of unanticipated medical expenses. Boasting a significant market position in both the U.S. and Japan, Aflac excels in areas such as cancer and accident insurance, leveraging its strong brand reputation and customer loyalty. The company showcases robust financial health, evident in its ongoing revenue growth and sound balance sheet, reinforcing its ability to drive shareholder value while adapting to the dynamic healthcare environment.",4977,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - LIFE,"1932 WYNNTON ROAD, COLUMBUS, GA, UNITED STATES, 31999",https://www.aflac.com,December,2025-06-30,57606701000.0,3446000000.0,24.26,0.93,50.86,2.16,0.0202,4.44,29.04,0.153,0.21,0.0173,0.0915,15910000000.0,6585000000.0,4.44,-0.642,-0.19,110.0,2,1,8,1,1,24.26,15.2,3.621,2.175,4.128,0.0,0.849,113.9,96.14,108.32,105.72,534831000,530189000,10.541,59.597,2025-09-02,2025-08-20
A,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is a premier American company headquartered in Santa Clara, California, specializing in analytical instrumentation and life sciences solutions. Renowned for its innovative products and services, Agilent caters to diverse markets including scientific research, diagnostics, and quality control, thereby reinforcing its position as a vital contributor to the global analytical economy. The company's extensive portfolio encompasses cutting-edge instruments and software, enabling advancements in life sciences and applied chemical sectors. With a steadfast commitment to innovation and customer-centric strategies, Agilent is poised to meet the evolving needs of its clients across various industries, making it a compelling investment opportunity for institutional investors.",1090872,NYSE,USD,USA,HEALTHCARE,DIAGNOSTICS & RESEARCH,"5301 STEVENS CREEK BOULEVARD, SANTA CLARA, CA, UNITED STATES, 95051",https://www.agilent.com,October,2025-07-31,40234377000.0,1838000000.0,33.08,2.163,22.46,0.98,0.0069,4.29,23.84,0.18,0.232,0.0835,0.199,6788000000.0,3569000000.0,4.29,0.216,0.101,148.57,2,6,10,0,0,33.08,22.94,5.93,6.17,6.07,22.92,1.262,152.88,96.03,126.77,123.15,283500000,282491000,0.29,92.823,2025-10-22,2025-09-30
